City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Pisco,PE,-13.7,-76.2167,66.25,88,0,12.66,clear sky
194,Komsomolskiy,UZ,40.4272,71.7189,33.22,69,100,2.3,haze
195,Awjilah,LY,29.1081,21.2869,51.89,80,1,6.35,clear sky
196,Urumqi,CN,43.801,87.6005,9.55,79,77,2.24,broken clouds
197,Shenjiamen,CN,29.9576,122.298,50.09,56,10,14.72,clear sky
198,Husavik,IS,66.0449,-17.3389,37.31,78,95,16.75,overcast clouds
199,Lebanon,US,36.2081,-86.2911,41.79,80,1,0.0,clear sky
200,Thompson,CA,55.7435,-97.8558,3.36,85,75,0.0,light snow
201,Isla Mujeres,MX,21.2311,-86.731,78.17,75,6,10.11,clear sky
202,Santa Maria,BR,-29.6842,-53.8069,70.9,88,0,3.44,clear sky
203,Lasa,IT,46.6166,10.7002,40.08,95,63,7.65,broken clouds
204,San Patricio,US,28.017,-97.5169,64.26,78,3,4.92,clear sky
205,Westport,US,41.1415,-73.3579,44.1,58,0,5.01,clear sky
206,Harda,IN,22.3333,77.1,69.96,51,1,4.32,clear sky
207,Sena Madureira,BR,-9.0656,-68.6569,73.87,99,100,2.55,overcast clouds
208,Kurilsk,RU,45.2333,147.8833,33.3,63,99,32.21,light snow
209,Inhambane,MZ,-23.865,35.3833,80.58,94,75,5.99,broken clouds
210,Red Bank,US,40.3471,-74.0643,45.03,47,1,1.99,clear sky
211,Russell,US,32.3502,-85.1999,47.97,100,1,0.0,clear sky
212,Te Anau,NZ,-45.4167,167.7167,70.45,49,83,1.23,moderate rain
213,Brest,BY,52.1,23.7,28.36,93,100,4.88,overcast clouds
214,Cradock,ZA,-32.1642,25.6192,69.62,66,87,2.62,overcast clouds
215,Ishigaki,JP,24.3448,124.1572,68.13,77,75,24.16,broken clouds
216,Morondava,MG,-20.2833,44.2833,81.45,73,1,4.03,clear sky
217,Yinchuan,CN,38.4681,106.2731,29.48,32,0,1.81,clear sky
218,Kalach-Na-Donu,RU,48.691,43.5264,20.52,55,100,14.25,overcast clouds
219,Beloha,MG,-25.1667,45.05,81.7,40,9,10.65,clear sky
220,Olinda,BR,-8.0089,-34.8553,82.13,74,75,8.05,broken clouds
221,Mar Del Plata,AR,-38.0023,-57.5575,62.87,80,0,1.99,clear sky
222,Sitka,US,57.0531,-135.33,35.49,55,75,5.75,broken clouds
223,Del Rio,US,29.3627,-100.8968,52.43,35,1,1.99,clear sky
224,Lakhimpur,IN,27.95,80.7667,62.47,52,50,1.9,scattered clouds
225,Verkhovyna,UA,48.1557,24.7911,32.97,99,100,2.95,light snow
226,Kyren,RU,51.6828,102.1408,19.74,77,98,2.08,overcast clouds
227,Marzuq,YE,14.4,46.4667,55.18,56,0,3.49,clear sky
228,Loa Janan,ID,-0.583,117.095,84.88,67,94,3.42,overcast clouds
229,Henties Bay,NA,-22.116,14.2845,59.86,93,0,6.71,clear sky
230,Phangnga,TH,8.4509,98.5298,84.9,56,49,7.36,scattered clouds
231,San Cristobal,VE,7.7669,-72.225,69.98,92,84,3.15,broken clouds
232,Kahului,US,20.8947,-156.47,78.82,79,40,14.97,scattered clouds
233,Barrow,US,71.2906,-156.7887,-14.78,76,1,10.36,clear sky
234,Adrar,MR,20.5022,-10.0711,63.25,18,24,10.04,few clouds
235,Provideniya,RU,64.3833,-173.3,-8.64,70,59,15.66,broken clouds
236,Nemuro,JP,43.3236,145.575,36.03,57,37,31.94,scattered clouds
237,Zhaoqing,CN,23.0512,112.4597,68.94,45,0,5.12,clear sky
238,Chokurdakh,RU,70.6333,147.9167,-36.33,97,100,2.04,overcast clouds
239,Ayagoz,KZ,47.9714,80.4392,16.65,95,100,6.8,light snow
240,Bilma,NE,18.6853,12.9164,59.97,14,15,8.86,few clouds
241,Wasilla,US,61.5814,-149.4394,-1.39,77,1,5.75,clear sky
242,Vozhega,RU,60.4725,40.2213,23.32,96,100,6.8,overcast clouds
243,Ambulu,ID,-8.345,113.6058,85.77,67,68,7.14,broken clouds
244,Providencia,MX,28.7167,-111.5833,64.85,56,54,4.36,broken clouds
245,Vila Franca Do Campo,PT,37.7167,-25.4333,56.19,58,100,12.5,overcast clouds
246,Sorong,ID,-0.8833,131.25,84.22,74,100,4.9,overcast clouds
247,Klaksvik,FO,62.2266,-6.589,38.32,98,100,29.64,overcast clouds
248,Manzhouli,CN,49.6,117.4333,17.64,66,19,9.01,few clouds
249,Hayden,US,47.766,-116.7866,34.48,85,75,4.61,broken clouds
250,El Campo,US,29.1966,-96.2697,54.68,71,1,0.0,clear sky
251,Tondano,ID,1.3038,124.9112,78.89,62,76,4.7,broken clouds
252,Barcelona,ES,41.3888,2.159,52.54,82,20,11.5,few clouds
253,Oistins,BB,13.0667,-59.5333,78.89,89,40,18.41,scattered clouds
254,Pimenta Bueno,BR,-11.6725,-61.1936,74.44,98,100,3.47,overcast clouds
255,Guerrero Negro,MX,27.9769,-114.0611,60.51,70,94,8.57,overcast clouds
256,Lichuan,CN,30.3,108.85,43.79,73,28,3.69,scattered clouds
257,Storsteinnes,NO,69.2408,19.2344,33.8,96,98,3.58,light snow
258,Itanagar,IN,27.1,93.6167,65.03,40,0,4.03,clear sky
259,Acajutla,SV,13.5928,-89.8275,77.79,79,36,7.25,scattered clouds
260,Nikolskoye,RU,59.7035,30.7861,25.81,98,100,3.18,snow
261,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,25.41,85,100,21.61,light snow
262,Kholm,RU,59.2667,32.85,31.32,96,100,7.45,overcast clouds
263,Severobaykalsk,RU,55.65,109.3167,10.44,71,41,8.32,scattered clouds
264,Sanchazi,CN,42.0817,126.6003,17.69,64,2,6.4,clear sky
265,Taoudenni,ML,22.6783,-3.9836,62.83,29,20,12.33,few clouds
266,Umbuzeiro,BR,-7.6956,-35.6636,73.08,92,51,3.94,broken clouds
267,Khora,GR,37.05,21.7167,48.13,76,71,14.7,broken clouds
268,Port Hedland,AU,-20.3167,118.5667,93.25,59,1,13.8,clear sky
269,Prabumulih,ID,-3.45,104.25,83.1,72,83,4.03,broken clouds
270,Koutiala,ML,12.3917,-5.4642,74.08,21,17,5.97,few clouds
271,Udachnyy,RU,66.4167,112.4,-47.56,71,96,3.85,overcast clouds
272,Preobrazheniye,RU,42.9019,133.9064,22.48,37,0,13.71,clear sky
273,Phaphund,IN,26.6,79.4667,62.89,43,52,3.15,broken clouds
274,Arica,CL,-18.475,-70.3042,66.43,72,90,3.44,overcast clouds
275,Iranshahr,IR,27.2025,60.6848,46.74,27,0,6.91,clear sky
276,Anloga,GH,5.7947,0.8973,82.62,83,74,9.04,broken clouds
277,Atherton,GB,53.5237,-2.4935,53.29,83,100,3.0,overcast clouds
278,Coquimbo,CL,-29.9533,-71.3436,58.73,88,0,3.44,clear sky
279,Isangel,VU,-19.55,169.2667,86.11,79,75,5.75,moderate rain
280,Hovd,MN,48.0056,91.6419,13.28,59,71,1.21,broken clouds
281,Guanica,PR,17.9716,-66.908,78.98,86,13,3.0,few clouds
282,Ouadda,CF,8.0777,22.4007,69.51,37,42,5.12,scattered clouds
283,Nata,PA,8.3333,-80.5167,73.24,85,52,6.02,broken clouds
284,Annau,TM,37.8876,58.516,38.7,100,90,9.22,mist
285,Alofi,NU,-19.0595,-169.9187,80.49,74,75,4.61,broken clouds
286,Varhaug,NO,58.6147,5.6457,46.89,86,100,21.97,overcast clouds
287,Amazar,RU,53.858,120.875,2.97,79,88,1.9,overcast clouds
288,Mecca,SA,21.4267,39.8261,69.58,38,72,4.03,broken clouds
289,Sambava,MG,-14.2667,50.1667,75.79,82,27,7.54,scattered clouds
290,Isla Vista,US,34.4133,-119.861,55.11,78,59,0.45,broken clouds
291,Tuatapere,NZ,-46.1333,167.6833,62.82,57,67,7.18,broken clouds
292,Male,MV,4.1748,73.5089,80.55,94,75,5.75,broken clouds
293,Bambous Virieux,MU,-20.3428,57.7575,81.21,78,75,6.91,broken clouds
294,Satun,TH,6.8333,100.0,85.71,58,71,7.65,broken clouds
295,Banjar,ID,-8.19,114.9675,87.66,72,65,0.74,broken clouds
296,Mahebourg,MU,-20.4081,57.7,81.25,78,75,6.91,broken clouds
297,Oranjemund,NA,-28.55,16.4333,60.15,95,9,4.54,clear sky
298,Vila Do Maio,CV,15.1333,-23.2167,74.19,74,100,15.23,overcast clouds
299,Port Macquarie,AU,-31.4333,152.9167,75.16,59,0,14.63,clear sky
300,Yaroslavskaya,RU,44.6106,40.4642,43.74,56,82,3.83,broken clouds
301,Pirayu,PY,-25.4833,-57.2333,78.48,84,96,6.13,light rain
302,Olafsvik,IS,64.8945,-23.7142,40.46,96,100,17.0,overcast clouds
303,Evensk,RU,61.95,159.2333,11.1,56,100,20.62,overcast clouds
304,Muncar,ID,-8.4333,114.3333,88.05,64,66,9.71,broken clouds
305,Riyadh,SA,24.6877,46.7219,46.54,31,58,5.14,broken clouds
306,Sarlat-La-Caneda,FR,44.889,1.2166,39.87,93,59,2.89,broken clouds
307,San Carlos De Bariloche,AR,-41.1456,-71.3082,44.35,76,75,17.27,broken clouds
308,Kutum,SD,14.2,24.6667,61.77,38,30,5.41,scattered clouds
309,Navahrudak,BY,53.6,25.8333,29.1,85,100,5.79,overcast clouds
310,Gorodovikovsk,RU,46.0878,41.9335,36.14,80,100,20.96,overcast clouds
311,Doka,SD,13.5167,35.7667,71.17,27,23,7.11,few clouds
312,Skjervoy,NO,70.0311,20.9714,36.46,99,100,10.0,light rain
313,Matay,EG,28.419,30.7792,61.27,64,100,7.87,overcast clouds
314,Oyama,JP,36.3,139.8,57.04,24,0,14.67,clear sky
315,Port-Gentil,GA,-0.7193,8.7815,79.32,87,100,8.93,overcast clouds
316,Sorochinsk,RU,52.4338,53.1583,9.95,91,10,1.66,clear sky
317,Shima,CN,24.4478,117.8111,67.21,58,81,6.33,broken clouds
318,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.2,93,100,14.67,overcast clouds
319,Trairi,BR,-3.2778,-39.2689,81.23,75,95,11.34,overcast clouds
320,Naze,JP,28.3667,129.4833,59.92,66,94,15.99,overcast clouds
321,San Andres,CO,12.5847,-81.7006,80.62,83,40,11.5,scattered clouds
322,Kruisfontein,ZA,-34.0033,24.7314,66.88,98,100,5.06,overcast clouds
323,Gravdal,NO,68.1214,13.5031,34.92,89,82,11.9,broken clouds
324,Goma,CD,-1.6792,29.2228,62.11,81,100,3.22,overcast clouds
325,Manosque,FR,43.8288,5.7869,27.82,71,85,4.79,overcast clouds
326,Labuhan,ID,-6.8844,112.2051,87.69,62,23,6.2,few clouds
327,Gondar,ET,12.6,37.4667,54.14,28,28,5.53,scattered clouds
328,Saint-Denis,FR,48.9167,2.3333,49.59,96,90,1.01,fog
329,Kingisepp,RU,59.3733,28.6134,32.9,99,100,4.76,overcast clouds
330,Weiser,US,44.251,-116.9693,45.32,80,100,3.6,overcast clouds
331,Musiri,IN,10.9333,78.45,80.64,73,58,4.36,broken clouds
332,Kavieng,PG,-2.5744,150.7967,83.19,76,92,9.42,moderate rain
333,Pemangkat,ID,1.1667,108.9667,82.26,77,84,5.28,broken clouds
334,Juybar,IR,36.6412,52.9124,50.16,80,100,8.41,overcast clouds
335,Airai,TL,-8.9266,125.4092,74.12,64,87,0.96,overcast clouds
336,Potiskum,NG,11.7091,11.0694,65.46,24,46,8.32,scattered clouds
337,Weihe,CN,32.9952,105.3247,37.13,85,100,4.43,overcast clouds
338,Porto Walter,BR,-8.2686,-72.7439,73.29,97,91,2.17,overcast clouds
339,Aquidauana,BR,-20.4711,-55.7872,73.29,95,86,3.8,light rain
340,Kigorobya,UG,1.6162,31.3089,66.96,53,100,2.55,overcast clouds
341,Vilyuysk,RU,63.7553,121.6247,-19.7,97,100,7.31,overcast clouds
342,Sao Joao Dos Patos,BR,-6.495,-43.7022,76.84,68,100,1.34,overcast clouds
343,Alice Springs,AU,-23.7,133.8833,94.55,15,45,4.61,scattered clouds
344,Cap-Aux-Meules,CA,47.3821,-61.8597,37.42,56,75,29.93,broken clouds
345,Raga,SS,8.4596,25.678,71.15,34,91,4.38,overcast clouds
